original_name,standardized_name
Dentzel Carousel Committee,Dentzel Carousel Committee
Deo-development and Economic Opportunity Admin,Development and Economic Opportunity
Deo-housing & Community Development,Housing & Community Development
Deo-real Estate Services,Real Estate Services
Department:academic Affairs,Academic Affairs
Department:academic Support,Academic Support
"Department:academic Support, Workshop",Academic Support
Department:accounting,Accounting
Department:administration,Administration
"Department:administration, Academics, Home Office Leadership",Administration
Department:admissions,Admissions
Department:ancillary/health Services,Ancillary/Health Services
Department:art,Art
Department:art and Design,Art and Design
Department:athletics,Athletics
Departmentbiology,Biology
Department:blossomland Learning Center,Blossomland Learning Center
"Department:blossomland Learning Center, Lighthouse Education Center",Blossomland Learning Center
Department:business and Economics,Business and Economics
Department:business Office,Business Office
Department:communication Arts,Communication Arts
Department & Contract Services,Contract Services
Department:early on Services,Early On Services
Departmenteducation,Education
Department:educational Foundations and Leadership,Educational Foundations and Leadership
Department:electives Instructors,Electives Instructors
"Department:english/language Arts, Eighth Grade",English/Language Arts
Department:facilities,Facilities
Department:facility Services,Facility Services
Department:first Grade,First Grade
Department:human Resources,Human Resources
Department:instructional Services,Instructional Services
Department:kindergarten,Kindergarten
Department of Accounts & Finance,Finance
Department of Administration,Administration
Department of Administrative Services,Administration
Department of Aging,Aging
Department of Assessments,Assessor
Department of Athletics,Athletics
"Department of Athletics, Department of Mathematics",Athletics
Department of Budget and Fiscal Services,Budget and Fiscal Services
Department of Building and Zoning,Building & Zoning
Department of Building Safety,Building & Inspections
Department of Building & Safety,Building & Inspections
Department of Building Safety / Inspection,Building & Inspections
Department of Buildings and Grounds,Buildings and Grounds
Department of Children and Families,Children and Families
Department of Children and Family Services,Children and Family Services
Department of City Development,Development
Department of Civil and Environmental Engineering,Engineering
Department of Code Enforcement,Code Enforcement
Department of Codes & Building Safety,Building & Inspections
Department of Communications and Community Engagement,Communications & Community Engagement
Department of Community Affairs,Community Affairs
Department of Community Development,Community Development
Department of Community & Economic Development,Community & Economic Development
Department of Community Planning and Economic Development,Community Planning & Economic Development
Department of Community Planning & Economic Development,Community Planning & Economic Development
Department of Community Planning & Mapping Services,Community Planning & Mapping Services
Department of Community Services,Community Services
Department of Construction Codes,Building & Inspections
Department of Corrections,Corrections
Department of Corrections - Adult Probation,Corrections
Department of Corrections (mdoc),Corrections
Department of Corrections Staff,Corrections
Department of County Assets,County Assets
Department of Curriculum & Instruction,Curriculum & Instruction
Department of Customer Services,Customer Services
Department of Design and Construction,Design & Construction
Department of Development,Development
"Department of Development, Housing Division",Development
Department of Development Review & Planning,Planning
Department of Development Services,Development Services
Department of Ecology,Ecology
Department of Economic and Community Development,Economic & Community Development
Department of Economic Development,Economic Development
Department of Economic Development & Tourism,Economic Development & Tourism
Department of Economic & Housing Development,Economic & Housing Development
Department of Education,Education
Department of Education (mde),Education
Department of Emergency Communications (dec),Emergency Communications
Department of Emergency Management,Emergency Management
Department of Emergency Preparedness,Emergency Preparedness
Department of Emergency Services,Emergency Services
Department of Employee Relations,Human Resources
Department of Employment and Economic Development,Employment & Economic Development
Department of Engagement,Engagement
Department of Engineering & Construction,Engineering & Construction
Department of Engineering & Planning,Engineering & Planning
Department of Environmental Conservation,Environmental Conservation
Department of Environmental Management and Engineering,Environmental Management & Engineering
Department of Environmental Protection and Sustainability (eps),Environmental Protection & Sustainability
Department of Environmental Services,Environmental Services
Department of Environment & Waterways,Environment & Waterways
Department of Equalization & Tax Mapping,Assessor
Department of Jobs and Family Services / Human Services,Human Services
Department of Labor and Industry,Labor & Industry
"Department of Land, Conservation and Development","Land, Conservation and Development"
Department of Lands,Lands
Department of Legislative Services,Legislative Services
Department of Local Affairs,Local Affairs
"Department of Maintenance, Buildings, and Grounds","Maintenance, Buildings, and Grounds"
Department of Marketing & Communications,Marketing & Communications
Department of Medical Examiner,Medical Examiner
Department of Medicine,Medicine
Department of Mental Health,Mental Health
Department of Mental Health (dmh),Mental Health
Department of Metropolitan Development,Metropolitan Development
Department of Military and Veterans Affairs,Military and Veterans Affairs
Department of Military and Veterans Affairs (dmva),Military and Veterans Affairs
Department of Motor Vehicles,Motor Vehicles
Department of Motor Vehicles (dmv),Motor Vehicles
Department of Multilingual Education,Multilingual Education
Department of Neighborhood Engagement,Neighborhood Engagement
Department of Neighborhoods,Neighborhoods
Department of Neighborhood Services,Neighborhood Services
Department of Noxious Weeds,Noxious Weeds
"Department of Obstetrics, Gynecology","Obstetrics, Gynecology"
"Department of Obstetrics, Gynecology & Women’s Health","Obstetrics, Gynecology & Women’s Health"
Department of Operational Services,Operational Services
Department of Operations,Operations
Department of Organizational Excellence,Organizational Excellence
Department of Permits & Inspections,Permits & Inspections
Department of Personnel & Administration,Personnel & Administration
Department of Physical Assets,Physical Assets
Department of Planning,Planning
Department of Ethics and Professional Standards,Ethics and Professional Standards
Department of Exceptional Children,Exceptional Children
Department of Exceptional Learning,Exceptional Learning
Department of Facility Maintenance,Facility Maintenance
Department of Family Services,Family Services
Department of Finance,Finance
Department of Finance and Management,Finance and Management
Department of Fire / Rescue Services,Fire / Rescue Services
Department of Fire Services,Fire Services
Department of Fiscal Services,Fiscal Services
Department of Forestry,Forestry
Department of Grants and Community Development,Grants and Community Development
Department of Health,Health
Department of Health and Human Services,Health and Human Services
Department of Health and Human Services (mdhhs),Health and Human Services
Department of Healthcare and Family Services,Healthcare and Family Services
Department of Health & Human Services,Health & Human Services
Department of Housing and Community Development,Housing and Community Development
Department of Housing and Community Development (dhcd),Housing and Community Development
Department of Housing Stability (HOST),Housing Stability
Department of Humanities and Communications,Humanities and Communications
Department of Human Resources,Human Resources
"Department of Human Resources, Division of Business and Finance",Human Resources
Department of Human Services,Human Services
Department of Information & Community Engagement,Information & Community Engagement
Department of Information Technology,Information Technology
Department of Innovation and Information Technology Services,Information Technology
Department of Innovation and Technology,Information Technology
Department of Innovation & Development,Innovation & Development
Department of Innovation & Economic Community Development,Economic Development
Department of Innovation & Performance,Innovation & Performance
Department of Innovation & Technology,Information Technology
Department of Inspections,Inspections
Department of Instruction,Instruction
Department of Insurance,Insurance
Department of Insurance and Financial Services (difs),Insurance
Department of Planning and Community Development,Planning & Community Development
Department of Planning and Development,Planning & Development
Department of Planning and Permitting,Planning & Permitting
Department of Planning & Community Development,Planning & Community Development
Department of Planning & Development,Planning & Development
Department of Planning & Engineering,Planning & Engineering
Department of Planning & Zoning,Planning & Zoning
Department of Prevention & Human Services,Human Services
Department of Professional Services,Professional Services
Department of Property Maintenance Inspection,Property Maintenance Inspection
Department of Public Affairs,Public Affairs
Department of Public Health,Public Health
Department of Public Health and Environment,Public Health
